collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
antique,llm,60,0.01,uniform,0.6633333333333333,0.0,0.2799050530232539,1836.6533333333334,632.2466666666667,0.0,shared,full,t
antique,llm,60,0.01,weighted,0.93,0.0,0.06948787224293179,1831.1333333333334,632.2466666666667,0.0,shared,full,t
antique,llm,60,0.01,active_judge,0.8666666666666667,0.0,0.14369208541386247,1830.3133333333333,632.2466666666667,0.0,shared,full,t
antique,llm,60,0.01,strat_pilot,0.95,0.0,0.06954711391147402,1833.7133333333334,632.2466666666667,0.0,shared,full,t
antique,llm,60,0.01,weighted_cv,0.9566666666666667,0.0,0.051893461579646284,1828.9333333333334,632.2466666666667,0.0,shared,full,t
antique,llm,60,0.01,active_cv,0.92,0.0,0.08029714061302487,1830.2733333333333,632.2466666666667,0.0,shared,full,t
antique,llm,60,0.01,weighted_cvl,0.9533333333333334,0.0,0.053451087013903886,1828.6066666666666,632.2466666666667,0.0,shared,full,t
antique,llm,60,0.02,uniform,0.7333333333333333,0.0,0.2825964826410969,1822.23,631.25,0.0,shared,full,t
antique,llm,60,0.02,weighted,0.9633333333333334,0.0,0.06954413596479617,1818.8533333333332,631.25,0.0,shared,full,t
antique,llm,60,0.02,active_judge,0.8933333333333333,0.0,0.14233737273670924,1815.5433333333333,631.25,0.0,shared,full,t
antique,llm,60,0.02,strat_pilot,0.96,0.0,0.07002429974525874,1819.2,631.25,0.0,shared,full,t
antique,llm,60,0.02,weighted_cv,0.97,0.0,0.051985119532912606,1818.72,631.25,0.0,shared,full,t
antique,llm,60,0.02,active_cv,0.96,0.0,0.07993609958651274,1815.4333333333334,631.25,0.0,shared,full,t
antique,llm,60,0.02,weighted_cvl,0.97,0.0,0.054782015966033486,1818.2566666666667,631.25,0.0,shared,full,t
