collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
cast19,inv,30,0.01,uniform,0.04,0.006666666666666667,0.228388396680948,1706.4233333333334,978.1566666666666,0.0,shared,full,t
cast19,inv,30,0.01,weighted,0.15,0.0033333333333333335,0.053904230959668134,1705.7666666666667,978.1566666666666,0.0,shared,full,t
cast19,inv,30,0.01,active_judge,0.05333333333333334,0.0,0.11947681045052103,1705.1866666666667,978.1566666666666,0.0,shared,full,t
cast19,inv,30,0.01,strat_pilot,0.14333333333333334,0.0,0.05389443590924189,1707.4666666666667,978.1566666666666,0.0,shared,full,t
cast19,inv,30,0.01,weighted_cv,0.15333333333333332,0.0033333333333333335,0.06351159678684327,1704.6366666666668,978.1566666666666,0.0,shared,full,t
cast19,inv,30,0.01,active_cv,0.056666666666666664,0.0,0.14034734146417246,1704.41,978.1566666666666,0.0,shared,full,t
cast19,inv,30,0.01,weighted_cvl,0.13,0.0,0.05432905432640722,1705.79,978.1566666666666,0.0,shared,full,t
cast19,inv,30,0.02,uniform,0.07333333333333333,0.0,0.214016927248716,1726.0033333333333,977.24,0.0,shared,full,t
cast19,inv,30,0.02,weighted,0.2866666666666667,0.0,0.054907117971959504,1723.3333333333333,977.24,0.0,shared,full,t
cast19,inv,30,0.02,active_judge,0.12,0.0,0.12001827780855692,1723.2633333333333,977.24,0.0,shared,full,t
cast19,inv,30,0.02,strat_pilot,0.29,0.0,0.05435793683137249,1721.2533333333333,977.24,0.0,shared,full,t
cast19,inv,30,0.02,weighted_cv,0.2733333333333333,0.0,0.06580146321630967,1724.1766666666667,977.24,0.0,shared,full,t
cast19,inv,30,0.02,active_cv,0.16,0.0,0.1433329320813004,1721.9833333333333,977.24,0.0,shared,full,t
cast19,inv,30,0.02,weighted_cvl,0.27666666666666667,0.0033333333333333335,0.055039319163211316,1720.2133333333334,977.24,0.0,shared,full,t
