collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
antique,inv,15,0.01,uniform,0.12,0.0,0.5336125917044052,939.4366666666666,632.7533333333333,0.0,shared,full,t
antique,inv,15,0.01,weighted,0.6366666666666667,0.0,0.13129127956078243,937.2533333333333,632.7533333333333,0.0,shared,full,t
antique,inv,15,0.01,active_judge,0.20333333333333334,0.0,0.382320542830027,939.0133333333333,632.7533333333333,0.0,shared,full,t
antique,inv,15,0.01,strat_pilot,0.65,0.0,0.13179967128516848,938.52,632.7533333333333,0.0,shared,full,t
antique,inv,15,0.01,weighted_cv,0.49,0.0,0.17619510593450954,937.2833333333333,632.7533333333333,0.0,shared,full,t
antique,inv,15,0.01,active_cv,0.13,0.0,0.5302154528167924,937.3333333333334,632.7533333333333,0.0,shared,full,t
antique,inv,15,0.01,weighted_cvl,0.6533333333333333,0.0,0.1317102489750078,937.2033333333334,632.7533333333333,0.0,shared,full,t
antique,inv,15,0.02,uniform,0.2,0.0,0.5279564017111948,929.9366666666666,630.3,0.0,shared,full,t
antique,inv,15,0.02,weighted,0.7366666666666667,0.0,0.13013433159179685,929.3066666666666,630.3,0.0,shared,full,t
antique,inv,15,0.02,active_judge,0.25666666666666665,0.0,0.3855339946006501,928.7533333333333,630.3,0.0,shared,full,t
antique,inv,15,0.02,strat_pilot,0.6933333333333334,0.0,0.12827966972339275,929.5033333333333,630.3,0.0,shared,full,t
antique,inv,15,0.02,weighted_cv,0.6,0.0,0.16751636625517752,927.8833333333333,630.3,0.0,shared,full,t
antique,inv,15,0.02,active_cv,0.17666666666666667,0.0,0.5045002219067605,927.5,630.3,0.0,shared,full,t
antique,inv,15,0.02,weighted_cvl,0.68,0.0,0.1308523339372205,928.94,630.3,0.0,shared,full,t
