collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,slack_true,n_queries,n_train,b,n_sampled,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
trec-covid,rr,20,0.01,uniform,0,1758,812,0,0,0.0,1.1037660774420803,0.323274083721505,0.06489721178171018,0.005961662587641616,0.01,50,10,25,39,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,1.1019933636654495,1.105538791218711,0.32351952711050963,0.32302864033250045
trec-covid,rr,20,0.01,uniform_nz,0,1769,812,1,0,0.0,0.613963461416073,0.323274083721505,0.06489721178171018,0.005961662587641616,0.01,50,10,25,39,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.6128578486977624,0.6150690741343836,0.32351952711050963,0.32302864033250045
trec-covid,rr,20,0.01,weighted,0,1784,812,1,0,0.0,0.323274083721505,0.323274083721505,0.06489721178171018,0.005961662587641616,0.01,50,10,25,39,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.32351952711050963,0.32302864033250045,0.32351952711050963,0.32302864033250045
trec-covid,rr,20,0.01,active_judge,0,1751,812,1,0,0.0,0.7700022291425995,0.323274083721505,0.06489721178171018,0.005961662587641616,0.01,50,10,25,39,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.7758528015163163,0.7641516567688827,0.32351952711050963,0.32302864033250045
trec-covid,rr,20,0.01,strat_pilot,0,1771,812,1,0,0.0,0.3280062737400592,0.323274083721505,0.06489721178171018,0.005961662587641616,0.01,50,10,25,39,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.32835724066961547,0.3276553068105029,0.32351952711050963,0.32302864033250045
trec-covid,rr,20,0.01,weighted_cv,0,1800,812,1,0,0.0,0.10833323537336918,0.323274083721505,0.06489721178171018,0.005961662587641616,0.01,50,10,25,39,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.10224564093710473,0.11442082980963364,0.32351952711050963,0.32302864033250045
trec-covid,rr,20,0.01,active_cv,0,1780,812,1,0,0.0,0.18135594343358785,0.323274083721505,0.06489721178171018,0.005961662587641616,0.01,50,10,25,39,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.17753782337765917,0.18517406348951648,0.32351952711050963,0.32302864033250045
trec-covid,rr,20,0.01,weighted_cvl,0,1770,812,1,0,0.0,0.323274083721505,0.323274083721505,0.06489721178171018,0.005961662587641616,0.01,50,10,25,39,-0.03977041909546825,0.06489721178171018,0.005961662587641616,0.06518093862363485,0.005452124336368925,0.32351952711050963,0.32302864033250045,0.32351952711050963,0.32302864033250045
trec-covid,rr,20,0.01,uniform,1,1741,810,1,0,0.0,2.4728625846259122,0.2870176903531682,0.15216595659438345,0.039091700190957396,0.01,50,10,25,38,0.15007894838823277,0.15228286009787398,0.036498693026791935,0.15216595659438345,0.039091700190957396,2.484966901629776,2.460758267622049,0.2969094596490066,0.2771259210573297
trec-covid,rr,20,0.01,uniform_nz,1,1748,810,1,0,0.0,1.2317947528817907,0.2870176903531682,0.15216595659438345,0.039091700190957396,0.01,50,10,25,38,0.15007894838823277,0.15228286009787398,0.036498693026791935,0.15216595659438345,0.039091700190957396,1.2391291799712085,1.2244603257923727,0.2969094596490066,0.2771259210573297
trec-covid,rr,20,0.01,weighted,1,1743,810,1,0,0.0,0.2870176903531682,0.2870176903531682,0.15216595659438345,0.039091700190957396,0.01,50,10,25,38,0.15007894838823277,0.15228286009787398,0.036498693026791935,0.15216595659438345,0.039091700190957396,0.2969094596490066,0.2771259210573297,0.2969094596490066,0.2771259210573297
trec-covid,rr,20,0.01,active_judge,1,1767,810,1,0,0.0,0.6599592972391882,0.2870176903531682,0.15216595659438345,0.039091700190957396,0.01,50,10,25,38,0.15007894838823277,0.15228286009787398,0.036498693026791935,0.15216595659438345,0.039091700190957396,0.6785662007115877,0.641352393766789,0.2969094596490066,0.2771259210573297
trec-covid,rr,20,0.01,strat_pilot,1,1763,810,1,0,0.0,0.38785254033374605,0.2870176903531682,0.15216595659438345,0.039091700190957396,0.01,50,10,25,38,0.15007894838823277,0.15228286009787398,0.036498693026791935,0.15216595659438345,0.039091700190957396,0.40070271171185007,0.3750023689556421,0.2969094596490066,0.2771259210573297
trec-covid,rr,20,0.01,weighted_cv,1,1742,810,1,0,0.0,0.09800237455104563,0.2870176903531682,0.15216595659438345,0.039091700190957396,0.01,50,10,25,38,0.15007894838823277,0.15228286009787398,0.036498693026791935,0.15216595659438345,0.039091700190957396,0.10084100906499593,0.09516374003709531,0.2969094596490066,0.2771259210573297
trec-covid,rr,20,0.01,active_cv,1,1769,810,1,0,0.0,0.10536860327054869,0.2870176903531682,0.15216595659438345,0.039091700190957396,0.01,50,10,25,38,0.15007894838823277,0.15228286009787398,0.036498693026791935,0.15216595659438345,0.039091700190957396,0.10833868423032748,0.10239852231076987,0.2969094596490066,0.2771259210573297
trec-covid,rr,20,0.01,weighted_cvl,1,1770,810,1,0,0.0,0.2870176903531682,0.2870176903531682,0.15216595659438345,0.039091700190957396,0.01,50,10,25,38,0.15007894838823277,0.15228286009787398,0.036498693026791935,0.15216595659438345,0.039091700190957396,0.2969094596490066,0.2771259210573297,0.2969094596490066,0.2771259210573297
trec-covid,rr,20,0.01,uniform,2,1726,805,0,0,0.0,0.6046841650787476,0.28273144212433415,0.06289487468946618,0.0037766270145764597,0.01,50,10,24,39,0.06289487468946615,0.06897182742224518,0.005006502128800137,0.06289487468946618,0.0037766270145764597,0.6169903610171101,0.5923779691403849,0.2942364952473076,0.27122638900136076
trec-covid,rr,20,0.01,uniform_nz,2,1733,805,1,0,0.0,0.3766081784060177,0.28273144212433415,0.06289487468946618,0.0037766270145764597,0.01,50,10,24,39,0.06289487468946615,0.06897182742224518,0.005006502128800137,0.06289487468946618,0.0037766270145764597,0.3845300957776697,0.36868626103436586,0.2942364952473076,0.27122638900136076
trec-covid,rr,20,0.01,weighted,2,1731,805,1,0,0.0,0.28273144212433415,0.28273144212433415,0.06289487468946618,0.0037766270145764597,0.01,50,10,24,39,0.06289487468946615,0.06897182742224518,0.005006502128800137,0.06289487468946618,0.0037766270145764597,0.2942364952473076,0.27122638900136076,0.2942364952473076,0.27122638900136076
trec-covid,rr,20,0.01,active_judge,2,1746,805,0,0,0.0,0.6932494224532917,0.28273144212433415,0.06289487468946618,0.0037766270145764597,0.01,50,10,24,39,0.06289487468946615,0.06897182742224518,0.005006502128800137,0.06289487468946618,0.0037766270145764597,0.7180169314620506,0.668481913444533,0.2942364952473076,0.27122638900136076
trec-covid,rr,20,0.01,strat_pilot,2,1722,805,1,0,0.0,0.2827628234016999,0.28273144212433415,0.06289487468946618,0.0037766270145764597,0.01,50,10,24,39,0.06289487468946615,0.06897182742224518,0.005006502128800137,0.06289487468946618,0.0037766270145764597,0.2943983760403954,0.27112727076300447,0.2942364952473076,0.27122638900136076
trec-covid,rr,20,0.01,weighted_cv,2,1736,805,1,0,0.0,0.09589871454261731,0.28273144212433415,0.06289487468946618,0.0037766270145764597,0.01,50,10,24,39,0.06289487468946615,0.06897182742224518,0.005006502128800137,0.06289487468946618,0.0037766270145764597,0.09954187547383955,0.09225555361139506,0.2942364952473076,0.27122638900136076
trec-covid,rr,20,0.01,active_cv,2,1737,805,1,0,0.0,0.11030834948050017,0.28273144212433415,0.06289487468946618,0.0037766270145764597,0.01,50,10,24,39,0.06289487468946615,0.06897182742224518,0.005006502128800137,0.06289487468946618,0.0037766270145764597,0.11444474057184344,0.10617195838915686,0.2942364952473076,0.27122638900136076
trec-covid,rr,20,0.01,weighted_cvl,2,1753,805,1,0,0.0,0.13688738936839062,0.28273144212433415,0.06289487468946618,0.0037766270145764597,0.01,50,10,24,39,0.06289487468946615,0.06897182742224518,0.005006502128800137,0.06289487468946618,0.0037766270145764597,0.13289075142678985,0.14088402730999142,0.2942364952473076,0.27122638900136076
trec-covid,rr,20,0.01,uniform,3,1754,805,1,0,0.0,0.5850296094886991,0.28069841132624357,0.045067370919305384,0.005398376490624787,0.01,50,10,25,39,0.045067370919305405,0.045067370919305384,0.005398376490624787,0.045710705727430447,0.006079734001217716,0.5803302881020685,0.5897289308753293,0.2763105003424179,0.28508632231006925
trec-covid,rr,20,0.01,uniform_nz,3,1787,805,1,0,0.0,0.33182683591724016,0.28069841132624357,0.045067370919305384,0.005398376490624787,0.01,50,10,25,39,0.045067370919305405,0.045067370919305384,0.005398376490624787,0.045710705727430447,0.006079734001217716,0.32904754360845156,0.33460612822602875,0.2763105003424179,0.28508632231006925
trec-covid,rr,20,0.01,weighted,3,1797,805,1,0,0.0,0.28069841132624357,0.28069841132624357,0.045067370919305384,0.005398376490624787,0.01,50,10,25,39,0.045067370919305405,0.045067370919305384,0.005398376490624787,0.045710705727430447,0.006079734001217716,0.2763105003424179,0.28508632231006925,0.2763105003424179,0.28508632231006925
